id,en,ar,es,fr,ru,zh
160100,DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,تنمية ونقل التكنولوجيا وترقية العلوم,DESARROLLO CIENTIFICO Y TRANSFERENCIA DE TECNOLOGIA,DEVELOPPEMENT SCIENTIFIQUE ET TRANSFERT DE TECHNOLOGIE,РАЗВИТИЕ И ПЕРЕДАЧА ТЕХНОЛОГИИ И ПООЩРЕНИЕ НАУКИ,科学的进步，技术的发展和转让
161000,SPACE SCIENCES,علوم الفضاء,CIENCIAS ESPACIALES,SCIENCES DE L'ESPACE,КОСМИЧЕСКИЕ НАУКИ,空间科学
160600,MATHEMATICS,رياضيات,MATEMATICAS,MATHEMATIQUES,МАТЕМАТИКА,数学
160500,LIFE SCIENCES,علوم الحياة,CIENCIAS BIOLOGICAS,SCIENCES DE LA VIE,НАУКИ О ЖИЗНИ,生命科学
160900,"ASTRONOMY, CHEMISTRY AND PHYSICS",علم الفلك والكيمياء والفيزياء,"ASTRONOMIA, QUIMICA, FISICA","ASTRONOMIE, CHIMIE, PHYSIQUE","АСТРОНОМИЯ, ХИМИЯ И ФИЗИКА","天文学, 化学和物理学"
160700,METEOROLOGY,علم الأرصاد الجوية,METEOROLOGIA,METEOROLOGIE,МЕТЕОРОЛОГИЯ,气象学
160300,EARTH SCIENCES,علوم الأرض,CIENCIAS DE LA TIERRA,SCIENCES DE LA TERRE,ЗЕМЛЕВЕДЕНИЕ,地球科学
160200,COMPUTER SCIENCE AND TECHNOLOGY,علم الحاسوب والتكنولوجيا,INFORMATICA,INFORMATIQUE,КОМПЬЮТЕРНАЯ НАУКА И ТЕХНОЛОГИЯ,计算机科学和技术
160800,NUCLEAR SCIENCE,العلم النووي,CIENCIA NUCLEAR,SCIENCE NUCLEAIRE,ЯДЕРНАЯ НАУКА,核科学
160400,HYDROLOGY AND OCEANOGRAPHY,علو المياه والأوقيانوغرافيا,HIDROLOGIA Y OCEANOGRAFIA,HYDROLOGIE ET OCEANOGRAPHIE,ГИДРОЛОГИЯ И ОКЕАНОГРАФИЯ,水文学和海洋学
021200,MONETARY ISSUES,مسائل نقدية,CUESTIONES MONETARIAS,QUESTIONS MONETAIRES,ВАЛЮТНЫЕ ВОПРОСЫ,货币问题
020300,SPECIAL ECONOMIC AREAS,مناطق إقتصادية خاصة,ZONAS ECONOMICAS ESPECIALES,ZONES ECONOMIQUES SPECIALES,ОСОБЫЕ ЭКОНОМИЧЕСКИЕ РАЙОНЫ,特别经济区
020400,DEVELOPMENT,تنمية,DESARROLLO,DEVELOPPEMENT,РАЗВИТИЕ,发展
020500,PUBLIC ADMINISTRATION,إدارة عامة,ADMINISTRACION PUBLICA,ADMINISTRATION PUBLIQUE,ГОСУДАРСТВЕННОЕ УПРАВЛЕНИЕ,公共行政
020700,STATISTICS,إحصاءات,ESTADISTICA,STATISTIQUE,СТАТИСТИКА,统计
020900,TRANSNATIONAL CORPORATIONS,شركات عبر الوطنية,EMPRESAS TRANSNACIONALES,SOCIETES TRANSNATIONALES,ТРАНСНАЦИОНАЛЬНЫЕ КОРПОРАЦИИ,跨国公司
020100,ECONOMIC THEORY,نظرية إقتصادية,TEORIA ECONOMICA,THEORIE ECONOMIQUE,ЭКОНОМИЧЕСКАЯ ТЕОРИЯ,经济理论
021100,BANKING AND INVESTMENT,أعمال مصرفية واستثمار,OPERACIONES BANCARIAS E INVERSIONES,OPERATIONS BANCAIRES ET INVESTISSEMENTS,БАНКОВСКИЕ ОПЕРАЦИИ И ИНВЕСТИЦИИ,银行业务和投资
020601,PUBLIC FINANCE,مالية عامة,HACIENDA PUBLICA,FINANCES PUBLIQUES,ГОСУДАРСТВЕННЫЕ ФИНАНСЫ,公共财政
020800,CONSUMERS AND COOPERATIVES,مستهلكون وتعاونيات,CONSUMIDORES Y COOPERATIVAS,CONSOMMATEURS ET COOPERATIVES,ПОТРЕБИТЕЛИ И КООПЕРАТИВЫ,消费者和合作社
020602,TAXATION,النظام الضريبي,TRIBUTACION,FISCALITE,НАЛОГООБЛОЖЕНИЕ,课税
021000,DEVELOPMENT FINANCE,تمويل التنمية,FINANCIACION DEL DESARROLLO,FINANCEMENT DU DEVELOPPEMENT,ФИНАНСИРОВАНИЕ РАЗВИТИЯ,发展资金
020200,ECONOMIC CONDITIONS,الظروف الاقتصادية,CONDICIONES ECONOMICAS,CONDITIONS ECONOMIQUES,ЭКОНОМИЧЕСКИЕ УСЛОВИЯ,经济条件
170302,OCEANIA,أوقيانوسيا,OCEANIA,OCEANIE,ОКЕАНИЯ,大洋州
170600,OCEANS AND SEAS,محيطات وبحار,OCEANOS Y MARES,OCEANS ET MERS,ОКЕАНЫ И МОРЯ,海和洋
170500,POLAR REGIONS,مناطق قطبية,REGIONES POLARES,REGIONS POLAIRES,ПОЛЯРНЫЕ РАЙОНЫ,极地地区
170100,AFRICA,أفريقيا,AFRICA,AFRIQUE,АФРИКА,非洲
170400,EUROPE,أوروبا,EUROPA,EUROPE,ЕВРОПА,欧洲
170200,AMERICAS,الأمريكيتان,AMERICAS,AMERIQUES,СЕВЕРНАЯ И ЮЖНАЯ АМЕРИКИ,美洲
170301,ASIA,آسيا,ASIA,ASIE,АЗИЯ,亚洲
130300,SPECIAL HUMANITARIAN OPERATIONS,عمليات إنسانية خاصة,OPERACIONES HUMANITARIAS ESPECIALES,OPERATIONS HUMANITAIRES SPECIALES,ОСОБЫЕ ГУМАНИТАРНЫЕ ОПЕРАЦИИ,特殊人道主义行动
130100,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,حماية ومساعدة اللاجئين والمشردين,PROTECCION Y ASISTENCIA A LOS REFUGIADOS Y A LAS PERSONAS DESPLAZADAS,PROTECTION ET ASSISTANCE AUX REFUGIES ET PERSONNES DEPLACEES,ЗАЩИТА И ПОМОЩЬ БЕЖЕНЦАМ И ПЕРЕМЕЩЕННЫМ ЛИЦАМ,保护和援助难民和流离失所者
130200,"DISASTER PREVENTION, PREPAREDNESS AND RELIEF",إتقاء الكوارث والتأهب والإغاثة,PREVENCION DE DESASTRES; SOCORRO EN CASO DE DESASTRE,PREVENTION DES CATASTROPHES ET SECOURS,"ПРЕДОТВРАЩЕНИЕ БЕДСТВИЙ, ПОДГОТОВЛЕННОСТЬ И ПОМОЩЬ",防灾，备灾和救灾
140402,CRIME AND CRIMINAL JUSTICE,جريمة وعدالة جنائية,DELITO Y JUSTICIA PENAL,CRIMINALITE ET JUSTICE CRIMINELLE,ПРЕСТУПЛЕНИЕ И УГОЛОВНОЕ ПРАВОСУДИЕ,犯罪和刑事司法
