uri,prefLabel
http://metadata.un.org/thesaurus/030101,GEOGRAPHY
http://metadata.un.org/thesaurus/030101,GEOGRAFIA
http://metadata.un.org/thesaurus/030101,GEOGRAPHIE
http://metadata.un.org/thesaurus/030101,ГЕОГРАФИЯ
http://metadata.un.org/thesaurus/030101,地理
http://metadata.un.org/thesaurus/030101,الجغرافيا
http://metadata.un.org/thesaurus/030102,رسم الخرائط
http://metadata.un.org/thesaurus/030102,CARTOGRAPHY
http://metadata.un.org/thesaurus/030102,CARTOGRAFIA
http://metadata.un.org/thesaurus/030102,CARTOGRAPHIE
http://metadata.un.org/thesaurus/030102,制图
http://metadata.un.org/thesaurus/030102,КАРТОГРАФИЯ
http://metadata.un.org/thesaurus/030103,أشكال الأرض والنظم الأيكولوجية
http://metadata.un.org/thesaurus/030103,LAND FORMS AND ECOSYSTEMS
http://metadata.un.org/thesaurus/030103,FORMAS FISIOGRAFICAS Y ECOSISTEMAS
http://metadata.un.org/thesaurus/030103,FORMATIONS GEOLOGIQUES ET ECOSYSTEMES
http://metadata.un.org/thesaurus/030103,ОЧЕРТАНИЯ СУШИ И ЭКОСИСТЕМЫ
http://metadata.un.org/thesaurus/030103,地形和生态系统
http://metadata.un.org/thesaurus/030200,موارد (عامة)
http://metadata.un.org/thesaurus/030200,RESOURCES (GENERAL)
http://metadata.un.org/thesaurus/030200,RECURSOS NATURALES
http://metadata.un.org/thesaurus/030200,RESSOURCES NATURELLES
http://metadata.un.org/thesaurus/030200,РЕСУРСЫ (ОБЩЕЕ)
http://metadata.un.org/thesaurus/030200,资源 （一般意义上的）
http://metadata.un.org/thesaurus/030300,البيئة
http://metadata.un.org/thesaurus/030300,ENVIRONMENT
http://metadata.un.org/thesaurus/030300,MEDIO AMBIENTE
http://metadata.un.org/thesaurus/030300,ENVIRONNEMENT
http://metadata.un.org/thesaurus/030300,环境
http://metadata.un.org/thesaurus/030300,ОКРУЖАЮЩАЯ СРЕДА
http://metadata.un.org/thesaurus/030400,التلوث
http://metadata.un.org/thesaurus/030400,POLLUTION
http://metadata.un.org/thesaurus/030400,CONTAMINACION
http://metadata.un.org/thesaurus/030400,POLLUTION
http://metadata.un.org/thesaurus/030400,污染
http://metadata.un.org/thesaurus/030400,ЗАГРЯЗНЕНИЕ
http://metadata.un.org/thesaurus/030500,المياه
http://metadata.un.org/thesaurus/030500,WATER
http://metadata.un.org/thesaurus/030500,AGUA
http://metadata.un.org/thesaurus/030500,EAU
http://metadata.un.org/thesaurus/030500,水
http://metadata.un.org/thesaurus/030500,ВОДА
http://metadata.un.org/thesaurus/030600,موارد التربة والنبات والأرض
http://metadata.un.org/thesaurus/030600,"LAND, PLANT AND SOIL RESOURCES"
http://metadata.un.org/thesaurus/030600,"TIERRAS, RECURSOS VEGETALES Y SUELOS"
http://metadata.un.org/thesaurus/030600,"TERRAINS, RESSOURCES VEGETALES, SOLS"
http://metadata.un.org/thesaurus/030600,"ЗЕМЕЛЬНЫЕ, РАСТИТЕЛЬНЫЕ И ПОЧВЕННЫЕ РЕСУРСЫ"
http://metadata.un.org/thesaurus/030600,地，植物和土壤资源
http://metadata.un.org/thesaurus/030700,FAUNA SILVESTRE
http://metadata.un.org/thesaurus/030700,الأحياء البرية
http://metadata.un.org/thesaurus/030700,WILDLIFE
http://metadata.un.org/thesaurus/030700,VIE SAUVAGE
http://metadata.un.org/thesaurus/030700,ДИКАЯ ПРИРОДА
http://metadata.un.org/thesaurus/030700,野生动物
http://metadata.un.org/thesaurus/030800,الموارد البحرية
http://metadata.un.org/thesaurus/030800,MARINE RESOURCES
http://metadata.un.org/thesaurus/030800,RECURSOS MARINOS
http://metadata.un.org/thesaurus/030800,RESSOURCES MARINES
http://metadata.un.org/thesaurus/030800,海洋资源
http://metadata.un.org/thesaurus/030800,МОРСКИЕ РЕСУРСЫ
http://metadata.un.org/thesaurus/030900,الموارد المعدنية
http://metadata.un.org/thesaurus/030900,MINERAL RESOURCES
http://metadata.un.org/thesaurus/030900,RECURSOS MINERALES
http://metadata.un.org/thesaurus/030900,RESSOURCES MINERALES
http://metadata.un.org/thesaurus/030900,矿物资源
http://metadata.un.org/thesaurus/030900,МИНЕРАЛЬНЫЕ РЕСУРСЫ
http://metadata.un.org/thesaurus/031000,موارد الطاقة
http://metadata.un.org/thesaurus/031000,ENERGY RESOURCES
http://metadata.un.org/thesaurus/031000,RECURSOS ENERGETICOS
http://metadata.un.org/thesaurus/031000,RESSOURCES ENERGETIQUES
http://metadata.un.org/thesaurus/031000,能源
http://metadata.un.org/thesaurus/031000,ЭНЕРГЕТИЧЕСКИЕ РЕСУРСЫ
http://metadata.un.org/thesaurus/140100,النهوض بالمرأة
http://metadata.un.org/thesaurus/140100,WOMEN'S ADVANCEMENT
http://metadata.un.org/thesaurus/140100,ADELANTO DE LA MUJER
http://metadata.un.org/thesaurus/140100,PROMOTION DE LA FEMME
http://metadata.un.org/thesaurus/140100,提高妇女地位
http://metadata.un.org/thesaurus/140100,УЛУЧШЕНИЯ ПОЛОЖЕНИЯ ЖЕНЩИН
http://metadata.un.org/thesaurus/140201,التمييز
http://metadata.un.org/thesaurus/140201,DISCRIMINATION
http://metadata.un.org/thesaurus/140201,DISCRIMINACION
http://metadata.un.org/thesaurus/140201,DISCRIMINATION
http://metadata.un.org/thesaurus/140201,歧视
http://metadata.un.org/thesaurus/140201,ДИСКРИМИНАЦИЯ
http://metadata.un.org/thesaurus/140202,حقوق الإنسان
http://metadata.un.org/thesaurus/140202,HUMAN RIGHTS
http://metadata.un.org/thesaurus/140202,DERECHOS HUMANOS
http://metadata.un.org/thesaurus/140202,DROITS DE L'HOMME
http://metadata.un.org/thesaurus/140202,人权
http://metadata.un.org/thesaurus/140202,ПРАВА ЧЕЛОВЕКА
http://metadata.un.org/thesaurus/140300,علم الأنساب والشعارات
http://metadata.un.org/thesaurus/140300,GENEALOGY AND EMBLEMS
http://metadata.un.org/thesaurus/140300,GENEALOGIA Y EMBLEMAS
http://metadata.un.org/thesaurus/140300,GENEALOGIE ET EMBLEMES
http://metadata.un.org/thesaurus/140300,ГЕНЕАЛОГИЯ И ЭМБЛЕМЫ
http://metadata.un.org/thesaurus/140300,家谱和徽章
http://metadata.un.org/thesaurus/140401,المخدرات
http://metadata.un.org/thesaurus/140401,NARCOTIC DRUGS
http://metadata.un.org/thesaurus/140401,ESTUPEFACIENTES
http://metadata.un.org/thesaurus/140401,STUPEFIANTS
http://metadata.un.org/thesaurus/140401,麻醉药品
http://metadata.un.org/thesaurus/140401,НАРКОТИЧЕСКИЕ СРЕДСТВА
http://metadata.un.org/thesaurus/140402,جريمة وعدالة جنائية
http://metadata.un.org/thesaurus/140402,CRIME AND CRIMINAL JUSTICE
http://metadata.un.org/thesaurus/140402,DELITO Y JUSTICIA PENAL
http://metadata.un.org/thesaurus/140402,CRIMINALITE ET JUSTICE CRIMINELLE
http://metadata.un.org/thesaurus/140402,ПРЕСТУПЛЕНИЕ И УГОЛОВНОЕ ПРАВОСУДИЕ
http://metadata.un.org/thesaurus/140402,犯罪和刑事司法
http://metadata.un.org/thesaurus/140501,منهجيات وفروع العلوم الإجتماعية
http://metadata.un.org/thesaurus/140501,SOCIAL SCIENCE DISCIPLINES AND METHODOLOGIES
http://metadata.un.org/thesaurus/140501,DISCIPLINAS Y METODOS DE LAS CIENCIAS SOCIALES
http://metadata.un.org/thesaurus/140501,DISCIPLINES ET METHODOLOGIES DES SCIENCES SOCIALES
http://metadata.un.org/thesaurus/140501,ДИСЦИПЛИНЫ СОЦИАЛЬНЫХ НАУК И МЕТОДОЛОГИИ
http://metadata.un.org/thesaurus/140501,社会科学科目和方法
http://metadata.un.org/thesaurus/140502,علم النفس
http://metadata.un.org/thesaurus/140502,PSYCHOLOGY
http://metadata.un.org/thesaurus/140502,PSICOLOGIA
http://metadata.un.org/thesaurus/140502,PSYCHOLOGIE
http://metadata.un.org/thesaurus/140502,心理学
http://metadata.un.org/thesaurus/140502,ПСИХОЛОГИЯ
http://metadata.un.org/thesaurus/140503,التنمية الاجتماعية
http://metadata.un.org/thesaurus/140503,SOCIAL DEVELOPMENT
http://metadata.un.org/thesaurus/140503,DESARROLLO SOCIAL
http://metadata.un.org/thesaurus/140503,DEVELOPPEMENT SOCIAL
http://metadata.un.org/thesaurus/140503,社会发展
http://metadata.un.org/thesaurus/140503,СОЦИАЛЬНОЕ РАЗВИТИЕ
http://metadata.un.org/thesaurus/140504,خدمات إجتماعية ورعاية
http://metadata.un.org/thesaurus/140504,WELFARE AND SOCIAL SERVICES
http://metadata.un.org/thesaurus/140504,ASISTENCIA Y SERVICIOS SOCIALES
http://metadata.un.org/thesaurus/140504,ASSISTANCE ET SERVICES SOCIAUX
http://metadata.un.org/thesaurus/140504,СОЦИАЛЬНЫЕ ЗАЩИТА И УСЛУГИ
http://metadata.un.org/thesaurus/140504,福利和社会服务
http://metadata.un.org/thesaurus/020100,ECONOMIC THEORY
http://metadata.un.org/thesaurus/020100,TEORIA ECONOMICA
http://metadata.un.org/thesaurus/020100,THEORIE ECONOMIQUE
http://metadata.un.org/thesaurus/020100,نظرية إقتصادية
http://metadata.un.org/thesaurus/020100,ЭКОНОМИЧЕСКАЯ ТЕОРИЯ
http://metadata.un.org/thesaurus/020100,经济理论
http://metadata.un.org/thesaurus/020200,الظروف الاقتصادية
http://metadata.un.org/thesaurus/020200,ECONOMIC CONDITIONS
http://metadata.un.org/thesaurus/020200,CONDICIONES ECONOMICAS
http://metadata.un.org/thesaurus/020200,CONDITIONS ECONOMIQUES
http://metadata.un.org/thesaurus/020200,经济条件
http://metadata.un.org/thesaurus/020200,ЭКОНОМИЧЕСКИЕ УСЛОВИЯ
http://metadata.un.org/thesaurus/020300,مناطق إقتصادية خاصة
http://metadata.un.org/thesaurus/020300,SPECIAL ECONOMIC AREAS
http://metadata.un.org/thesaurus/020300,ZONAS ECONOMICAS ESPECIALES
http://metadata.un.org/thesaurus/020300,ZONES ECONOMIQUES SPECIALES
http://metadata.un.org/thesaurus/020300,ОСОБЫЕ ЭКОНОМИЧЕСКИЕ РАЙОНЫ
http://metadata.un.org/thesaurus/020300,特别经济区
http://metadata.un.org/thesaurus/020400,التنمية
http://metadata.un.org/thesaurus/020400,DEVELOPMENT
http://metadata.un.org/thesaurus/020400,DESARROLLO
http://metadata.un.org/thesaurus/020400,DEVELOPPEMENT
http://metadata.un.org/thesaurus/020400,发展
http://metadata.un.org/thesaurus/020400,РАЗВИТИЕ
http://metadata.un.org/thesaurus/020500,الإدارة العامة
http://metadata.un.org/thesaurus/020500,PUBLIC ADMINISTRATION
http://metadata.un.org/thesaurus/020500,ADMINISTRACION PUBLICA
http://metadata.un.org/thesaurus/020500,ADMINISTRATION PUBLIQUE
http://metadata.un.org/thesaurus/020500,公共行政
http://metadata.un.org/thesaurus/020500,ГОСУДАРСТВЕННОЕ УПРАВЛЕНИЕ
http://metadata.un.org/thesaurus/020601,المالية العامة
http://metadata.un.org/thesaurus/020601,PUBLIC FINANCE
http://metadata.un.org/thesaurus/020601,HACIENDA PUBLICA
http://metadata.un.org/thesaurus/020601,FINANCES PUBLIQUES
http://metadata.un.org/thesaurus/020601,公共财政
http://metadata.un.org/thesaurus/020601,ГОСУДАРСТВЕННЫЕ ФИНАНСЫ
http://metadata.un.org/thesaurus/020602,TAXATION
http://metadata.un.org/thesaurus/020602,TRIBUTACION
http://metadata.un.org/thesaurus/020602,FISCALITE
http://metadata.un.org/thesaurus/020602,课税
http://metadata.un.org/thesaurus/020602,НАЛОГООБЛОЖЕНИЕ
http://metadata.un.org/thesaurus/020602, النظام الضريبي
http://metadata.un.org/thesaurus/020700,الإحصاءات
http://metadata.un.org/thesaurus/020700,STATISTICS
http://metadata.un.org/thesaurus/020700,ESTADISTICA
http://metadata.un.org/thesaurus/020700,STATISTIQUE
http://metadata.un.org/thesaurus/020700,СТАТИСТИКА
http://metadata.un.org/thesaurus/020700,统计
http://metadata.un.org/thesaurus/020800,مستهلكون وتعاونيات
http://metadata.un.org/thesaurus/020800,CONSUMERS AND COOPERATIVES
http://metadata.un.org/thesaurus/020800,CONSUMIDORES Y COOPERATIVAS
http://metadata.un.org/thesaurus/020800,CONSOMMATEURS ET COOPERATIVES
http://metadata.un.org/thesaurus/020800,ПОТРЕБИТЕЛИ И КООПЕРАТИВЫ
http://metadata.un.org/thesaurus/020800,消费者和合作社
http://metadata.un.org/thesaurus/020900,الشركات عبر الوطنية
http://metadata.un.org/thesaurus/020900,TRANSNATIONAL CORPORATIONS
http://metadata.un.org/thesaurus/020900,EMPRESAS TRANSNACIONALES
http://metadata.un.org/thesaurus/020900,SOCIETES TRANSNATIONALES
http://metadata.un.org/thesaurus/020900,跨国公司
http://metadata.un.org/thesaurus/020900,ТРАНСНАЦИОНАЛЬНЫЕ КОРПОРАЦИИ
http://metadata.un.org/thesaurus/021000,تمويل التنمية
http://metadata.un.org/thesaurus/021000,DEVELOPMENT FINANCE
http://metadata.un.org/thesaurus/021000,FINANCIACION DEL DESARROLLO
http://metadata.un.org/thesaurus/021000,FINANCEMENT DU DEVELOPPEMENT
http://metadata.un.org/thesaurus/021000,发展资金
http://metadata.un.org/thesaurus/021000,ФИНАНСИРОВАНИЕ РАЗВИТИЯ
http://metadata.un.org/thesaurus/021100,أعمال مصرفية واستثمار
http://metadata.un.org/thesaurus/021100,BANKING AND INVESTMENT
http://metadata.un.org/thesaurus/021100,OPERACIONES BANCARIAS E INVERSIONES
http://metadata.un.org/thesaurus/021100,OPERATIONS BANCAIRES ET INVESTISSEMENTS
http://metadata.un.org/thesaurus/021100,БАНКОВСКИЕ ОПЕРАЦИИ И ИНВЕСТИЦИИ
http://metadata.un.org/thesaurus/021100,银行业务和投资
http://metadata.un.org/thesaurus/021200,مسائل نقدية
http://metadata.un.org/thesaurus/021200,MONETARY ISSUES
http://metadata.un.org/thesaurus/021200,CUESTIONES MONETARIAS
