key,term
160100,DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE
161000,SPACE SCIENCES
160600,MATHEMATICS
160500,LIFE SCIENCES
160900,"ASTRONOMY, CHEMISTRY AND PHYSICS"
160700,METEOROLOGY
160300,EARTH SCIENCES
160200,COMPUTER SCIENCE AND TECHNOLOGY
160800,NUCLEAR SCIENCE
160400,HYDROLOGY AND OCEANOGRAPHY
021200,MONETARY ISSUES
020300,SPECIAL ECONOMIC AREAS
020400,DEVELOPMENT
020500,PUBLIC ADMINISTRATION
020700,STATISTICS
020900,TRANSNATIONAL CORPORATIONS
020100,ECONOMIC THEORY
021100,BANKING AND INVESTMENT
020601,PUBLIC FINANCE
020800,CONSUMERS AND COOPERATIVES
020602,TAXATION
021000,DEVELOPMENT FINANCE
020200,ECONOMIC CONDITIONS
170302,OCEANIA
170600,OCEANS AND SEAS
170500,POLAR REGIONS
170100,AFRICA
170400,EUROPE
170200,AMERICAS
170301,ASIA
130300,SPECIAL HUMANITARIAN OPERATIONS
130100,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS
130200,"DISASTER PREVENTION, PREPAREDNESS AND RELIEF"
140402,CRIME AND CRIMINAL JUSTICE
140501,SOCIAL SCIENCE DISCIPLINES AND METHODOLOGIES
140100,WOMEN'S ADVANCEMENT
140503,SOCIAL DEVELOPMENT
140300,GENEALOGY AND EMBLEMS
140502,PSYCHOLOGY
140201,DISCRIMINATION
140202,HUMAN RIGHTS
140504,WELFARE AND SOCIAL SERVICES
140401,NARCOTIC DRUGS
110500,EDUCATIONAL PERSONNEL AND POPULATION
110300,EDUCATIONAL SYSTEMS
110400,NON-FORMAL EDUCATION
110100,EDUCATIONAL POLICY AND PLANNING
110200,EDUCATIONAL FACILITIES AND TECHNOLOGY
070000,TRADE (GENERAL MATERIALS)
070201,TRADE IN COMMODITIES
070202,COMMODITIES
070300,TRADE IN MANUFACTURES; BARRIERS TO TRADE
070100,GENERAL INTERNATIONAL TRADE AND TRADE POLICY
070400,"TRADE PROMOTION, FACILITATION AND CUSTOMS ADMINISTRATION"
070500,TRADE RELATED FINANCE
120300,CONDITIONS OF EMPLOYMENT
120100,EMPLOYMENT PROMOTION AND PLANNING
120200,SKILLS DEVELOPMENT
120400,LABOUR RELATIONS
120600,SPECIAL CATEGORIES OF WORKERS
120500,OCCUPATIONS
050102,INDUSTRIAL PROPERTY
050900,TOURISM AND RELATED SERVICES
050101,INDUSTRIAL DEVELOPMENT SUPPORT SERVICES
050700,FOOD INDUSTRY
050500,CONSTRUCTION INDUSTRY AND ENGINEERING
050400,CHEMICAL INDUSTRY AND PHARMACEUTICALS
050800,INSURANCE
051000,WASTE DISPOSAL
050000,INDUSTRIAL SECTOR
050300,MANUFACTURING AND MINING INDUSTRIES AND PRODUCTS
050600,ELECTRONICS AND POWER INDUSTRIES
050200,MANAGEMENT
150600,"LEISURE, RECREATION AND SPORTS"
150102,"ART, LITERATURE AND MUSIC"
150400,COMMUNICATION AND MASS MEDIA
150500,"DOCUMENTATION, LIBRARY AND INFORMATION SCIENCES AND REFERENCE WORKS"
150300,PHILOSOPHY AND RELIGION
150000,CULTURAL DEVELOPMENT
150101,LANGUAGE
150200,PROTECTION OF INTELLECTUAL AND CULTURAL PROPERTY
060500,POSTAL SERVICES
060102,TRANSPORT OPERATIONS
060300,LAND TRANSPORT
060400,WATER TRANSPORT AND SHIPPING
060101,TRANSPORT POLICY AND PLANNING
060600,TELECOMMUNICATIONS
060200,AIR TRANSPORT
180703,RECOMMENDATIONS
180400,FINANCING
180702,DOCUMENTS
180100,INTERNATIONAL CIVIL SERVICE
180600,OPERATIONAL ACTIVITIES
180200,ORGANIZATIONAL STRUCTURE
180500,PROGRAMME PLANNING
180701,CONFERENCES
180300,ADMINISTRATION
010700,GENERAL AND NATIONAL LAW
010400,DISARMAMENT AND MILITARY QUESTIONS
010500,"DECOLONIZATION, TRUSTEESHIP AND APARTHEID"
010602,HISTORICAL PERIODS
010701,INTERNATIONAL LAW
010703,LAW OF THE SEA
010704,LAW OF WAR
010601,POLITICAL EVENTS AND ISSUES
010200,INTERNATIONAL RELATIONS
010300,MAINTENANCE OF PEACE AND SECURITY
010702,INTERNATIONAL TRADE LAW
010100,"POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS"
090200,HOUSING
090100,SETTLEMENT PLANNING
100200,COMPREHENSIVE HEALTH SERVICES
100400,ENVIRONMENTAL HEALTH
100302,DISEASES AND CARRIERS OF DISEASES
100301,DISEASE PREVENTION AND CONTROL
100500,PERSONS WITH DISABILITIES
100602,MEDICAL SCIENCES
100100,FOOD AND NUTRITION
100601,MEDICAL PRACTICE
030102,CARTOGRAPHY
030103,LAND FORMS AND ECOSYSTEMS
030300,ENVIRONMENT
030400,POLLUTION
030800,MARINE RESOURCES
031000,ENERGY RESOURCES
030700,WILDLIFE
030900,MINERAL RESOURCES
030500,WATER
030600,"LAND, PLANT AND SOIL RESOURCES"
030101,GEOGRAPHY
030200,RESOURCES (GENERAL)
040300,LIVESTOCK
040202,CROPS
040101,AGRICULTURAL ECONOMICS AND POLICY; RURAL SOCIOLOGY
040600,PEST MANAGEMENT
040201,CROP MANAGEMENT
040102,"AGRICULTURAL SCIENCES, ENGINEERING AND EDUCATION"
040400,FISHERIES
040500,FORESTRY
080200,FAMILY PLANNING
080301,SPECIAL GROUPS
080100,POPULATION DYNAMICS
080302,NATIONAL GROUPS
1000347,APPROPRIATIONS
1006722,TRUST FUNDS
1000711,BUDGET PERFORMANCE
1001287,CONTRIBUTIONS-IN-KIND
1006301,SUPPORT ACCOUNTS
1000709,BUDGET CONTRIBUTIONS
1000708,BUDGET
1002219,EXTRABUDGETARY FINANCING
1000349,APPROVING OFFICERS
1006117,SPECIAL ACCOUNTS
1002337,FINANCIAL REGULATIONS
1001275,CONTINGENCY FUNDS
1002331,FINANCIAL IMPLICATIONS
1002568,FUNDS
1005450,REIMBURSEMENT
1002343,FINANCING
1001456,CUSTODY OF FUNDS
1006303,SUPPORT COSTS
1003088,INCOME SOURCES
1002566,FUNDRAISING
1000032,ACCOUNTS
1004949,PLEDGING CONFERENCES
1000895,CERTIFYING OFFICERS
1000192,AIR MAIL SERVICES
1004589,OFFICIAL MAIL
1002515,FRANKING PRIVILEGES
1003838,MAIL
1005055,POSTAL CONVENTIONS
1005056,POSTAL SERVICES
1005054,POSTAL CODES
1005053,POSTAGE STAMPS
1000078,AEGEAN SEA
1000640,BLACK SEA
1000835,CARIBBEAN SEA
1004816,PERSIAN GULF
1006066,SOUTH ATLANTIC OCEAN
1004027,MEDITERRANEAN SEA
1005397,RED SEA
1000437,ATLANTIC OCEAN
1002797,GULF OF ADEN
1000507,BALTIC SEA
1003099,INDIAN OCEAN
1004470,NORTH PACIFIC OCEAN
1000357,ARABIAN SEA
1004471,NORTH SEA
1004689,PACIFIC OCEAN
1001823,EAST CHINA SEA
1006069,SOUTH PACIFIC OCEAN
1006068,SOUTH CHINA SEA
1004469,NORTH ATLANTIC OCEAN
1000070,ADRIATIC SEA
1000374,ARCTIC OCEAN
1004249,MOTOR VEHICLE CONTROLS AND DISPLAYS
1007004,WHEELS
1001951,ELECTRIC VEHICLES
1006826,URBAN TRAFFIC
1005357,RAILWAY GAUGES
1006621,TRAFFIC VIOLATIONS
1000026,ACCIDENT VICTIMS
1003797,LOCOMOTIVES
1004260,MOTOR VEHICLES
1001766,DRIVING PERMITS
1000551,BATTERY VEHICLES
1002854,HEAVY DUTY VEHICLES
1000784,CAMERA-MONITORS
1005363,RAILWAY TRANSPORT
1005590,ROAD TRANSPORT
1005289,QUADRICYCLES
1006618,TRAFFIC REGULATIONS
1004231,MOPEDS
1005364,RAILWAY TRANSPORT FACILITATION
1005592,ROADS
1005586,ROAD NETWORKS
1006365,TANK VEHICLES
1006353,TACHOGRAPHS
1006135,SPEED CONTROL BUMPS
